t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
1430.0,99999986430.57193,42899998.05950025,0.0,-18.97822106394265,29999.995929021476,0.0,-877172568.7866356,ok
1440.0,99999986240.12614,43199998.01850511,0.0,-19.110935896141658,29999.995871885632,0.0,-877172568.7866359,ok
1450.0,99999986048.35321,43499997.97693663,0.0,-19.243650728331968,29999.995814351627,0.0,-877172568.7866359,ok
1460.0,99999985855.25313,43799997.93479082,0.0,-19.376365560513523,29999.995756419463,0.0,-877172568.7866354,ok
1470.0,99999985660.8259,44099997.89206369,0.0,-19.50908039268626,29999.99569808914,0.0,-877172568.7866358,ok
1480.0,99999985465.07152,44399997.84875128,0.0,-19.64179522485012,29999.99563936066,0.0,-877172568.7866358,ok
1490.0,99999985267.98999,44699997.80484958,0.0,-19.774510057005042,29999.99558023402,0.0,-877172568.7866356,ok
1500.0,99999985069.58131,44999997.76035463,0.0,-19.907224889150964,29999.99552070922,0.0,-877172568.7866359,ok
1510.0,99999984869.84549,45299997.71526244,0.0,-20.03993972128783,29999.99546078626,0.0,-877172568.7866359,ok
1520.0,99999984668.78252,45599997.66956903,0.0,-20.172654553415576,29999.99540046514,0.0,-877172568.7866359,ok
1530.0,99999984466.3924,45899997.623270415,0.0,-20.305369385534142,29999.995339745863,0.0,-877172568.7866358,ok
1540.0,99999984262.67513,46199997.57636262,0.0,-20.438084217643468,29999.995278628427,0.0,-877172568.7866356,ok
1550.0,99999984057.6307,46499997.52884165,0.0,-20.570799049743492,29999.99521711283,0.0,-877172568.7866358,ok
1560.0,99999983851.25914,46799997.48070354,0.0,-20.70351388183416,29999.995155199074,0.0,-877172568.7866359,ok
1570.0,99999983643.56042,47099997.4319443,0.0,-20.836228713915403,29999.99509288716,0.0,-877172568.7866359,ok
1580.0,99999983434.53456,47399997.382559955,0.0,-20.968943545987166,29999.995030177084,0.0,-877172568.7866361,ok
1590.0,99999983224.18155,47699997.33254652,0.0,-21.101658378049386,29999.99496706885,0.0,-877172568.786636,ok
1600.0,99999983012.50139,47999997.2819,0.0,-21.234373210102003,29999.99490356246,0.0,-877172568.7866361,ok
1610.0,99999982799.49408,48299997.230616435,0.0,-21.36708804214496,29999.994839657906,0.0,-877172568.7866361,ok
1620.0,99999982585.15962,48599997.178691834,0.0,-21.499802874178194,29999.994775355193,0.0,-877172568.7866361,ok
1630.0,99999982369.49802,48899997.126122214,0.0,-21.632517706201643,29999.994710654322,0.0,-877172568.7866361,ok
1640.0,99999982152.50926,49199997.072903596,0.0,-21.765232538215248,29999.994645555293,0.0,-877172568.7866364,ok
1650.0,99999981934.19336,49499997.019031994,0.0,-21.89794737021895,29999.994580058104,0.0,-877172568.7866364,ok
1660.0,99999981714.55031,49799996.96450343,0.0,-22.03066220221269,29999.994514162754,0.0,-877172568.7866361,ok
1670.0,99999981493.58011,50099996.909313925,0.0,-22.1633770341964,29999.994447869245,0.0,-877172568.7866364,ok
1680.0,99999981271.28276,50399996.85345949,0.0,-22.296091866170027,29999.994381177577,0.0,-877172568.7866364,ok
1690.0,99999981047.65826,50699996.796936154,0.0,-22.428806698133506,29999.99431408775,0.0,-877172568.7866366,ok
1700.0,99999980822.70662,50999996.739739925,0.0,-22.561521530086782,29999.994246599766,0.0,-877172568.7866365,ok
1710.0,99999980596.42783,51299996.681866825,0.0,-22.69423636202979,29999.994178713623,0.0,-877172568.7866364,ok
1720.0,99999980368.82188,51599996.62331287,0.0,-22.826951193962472,29999.994110429318,0.0,-877172568.7866364,ok
1730.0,99999980139.8888,51899996.564074084,0.0,-22.959666025884765,29999.994041746853,0.0,-877172568.7866366,ok
1740.0,99999979909.62856,52199996.50414648,0.0,-23.092380857796613,29999.99397266623,0.0,-877172568.7866368,ok
1750.0,99999979678.04117,52499996.44352608,0.0,-23.22509568969795,29999.99390318745,0.0,-877172568.7866366,ok
1760.0,99999979445.12663,52799996.382208906,0.0,-23.35781052158872,29999.99383331051,0.0,-877172568.7866366,ok
1770.0,99999979210.88495,53099996.320190966,0.0,-23.49052535346886,29999.993763035407,0.0,-877172568.7866366,ok
1780.0,99999978975.31612,53399996.25746828,0.0,-23.62324018533831,29999.993692362146,0.0,-877172568.7866366,ok
1790.0,99999978738.42014,53699996.19403688,0.0,-23.755955017197014,29999.993621290727,0.0,-877172568.786637,ok
1800.0,99999978500.197,53999996.12989277,0.0,-23.888669849044906,29999.99354982115,0.0,-877172568.786637,ok
1810.0,99999978260.64673,54299996.06503197,0.0,-24.021384680881926,29999.993477953412,0.0,-877172568.7866371,ok
1820.0,99999978019.7693,54599995.999450505,0.0,-24.154099512708015,29999.993405687514,0.0,-877172568.7866373,ok
1830.0,99999977777.56473,54899995.93314439,0.0,-24.286814344523115,29999.993333023456,0.0,-877172568.7866368,ok
1840.0,99999977534.033,55199995.86610965,0.0,-24.419529176327163,29999.99325996124,0.0,-877172568.7866374,ok
